iter	RMSE
0	680.3731902
1	669.2716167
2	658.3813009
3	647.6990942
4	637.221004
5	626.9439381
6	616.913211
7	607.0234482
8	597.3249122
9	587.8143156
10	578.4886024
11	569.3798616
12	560.4101426
13	551.6164259
14	543.0260997
15	534.605904
16	526.3136377
17	518.220825
18	510.2506796
19	502.4744705
20	494.8158856
21	487.3113029
22	479.9606602
23	472.7824987
24	465.7628314
25	458.8350747
26	452.0492459
27	445.4030407
28	438.8942857
29	432.5206654
30	426.3038124
31	420.2188437
32	414.2061973
33	408.3363925
34	402.5912319
35	396.9683335
36	391.4823799
37	386.0596604
38	380.7724491
39	375.577506
40	370.4899318
41	365.5291046
42	360.6774964
43	355.906363
44	351.2609388
45	346.6593809
46	342.1603175
47	337.7675652
48	333.4466597
49	329.2631254
50	325.1424155
51	321.1403066
52	317.1941896
53	313.3352851
54	309.5904439
55	305.958071
56	302.3408243
57	298.7879466
58	295.3444366
59	291.9620274
60	288.6364829
61	285.3428606
62	282.1940502
63	279.1066157
64	276.0751073
65	273.1233152
66	270.2578126
67	267.4088814
68	264.6555261
69	261.9611358
70	259.3269931
71	256.765116
72	254.2106887
73	251.751766
74	249.3463641
75	246.9597488
76	244.6788783
77	242.4310743
78	240.2388818
79	238.1004403
80	235.9876427
81	233.9375946
82	231.9072579
83	229.954541
84	228.0115268
85	226.1412884
86	224.2848292
87	222.4471889
88	220.6803554
89	218.8988789
90	217.2301099
91	215.5470981
92	213.8675356
93	212.2735923
94	210.6617125
95	209.1331085
96	207.6543222
97	206.1953717
98	204.6967379
99	203.2781064
100	201.9064622
101	200.5840221
102	199.2495736
103	197.9627716
104	196.6471997
105	195.4080772
106	194.1854658
107	192.9545177
108	191.7584357
109	190.6053054
110	189.4281061
111	188.3379268
112	187.1934881
113	186.1956093
114	185.1891523
115	184.1774087
116	183.1002038
117	182.0546773
118	181.1178147
119	180.1202295
120	179.1511337
121	178.2089358
122	177.3594319
123	176.4456817
124	175.6225854
