iter	Passed	Remaining
0	9	588
1	16	499
2	24	490
3	30	447
4	39	452
5	46	445
6	54	438
7	62	430
8	71	427
9	83	440
10	90	427
11	96	409
12	101	391
13	108	380
14	114	365
15	121	357
16	130	354
17	140	352
18	146	340
19	153	329
20	160	320
21	165	309
22	172	300
23	178	289
24	183	279
25	191	271
26	196	261
27	202	253
28	208	244
29	213	234
30	220	227
31	225	218
32	231	210
33	239	204
34	245	196
35	250	188
36	257	180
37	263	173
38	270	166
39	277	159
40	290	155
41	296	148
42	303	141
43	310	134
44	317	127
45	328	121
46	337	114
47	346	108
48	353	100
49	359	93
50	364	85
51	372	78
52	377	71
53	384	64
54	390	56
55	397	49
56	404	42
57	411	35
58	418	28
59	423	21
60	434	14
61	440	7
62	446	0
