iter	Passed	Remaining
0	6	825
1	11	715
2	16	670
3	23	708
4	28	673
5	32	648
6	39	659
7	44	649
8	49	633
9	56	650
10	62	652
11	69	658
12	86	743
13	94	748
14	102	750
15	109	748
16	115	735
17	122	728
18	128	717
19	138	725
20	144	713
21	153	719
22	159	706
23	164	694
24	172	691
25	177	676
26	182	663
27	188	654
28	194	642
29	198	629
30	206	626
31	215	625
32	222	619
33	227	609
34	233	599
35	238	590
36	245	584
37	253	579
38	258	569
39	263	559
40	269	551
41	274	543
42	279	532
43	285	525
44	290	516
45	295	506
46	300	498
47	306	491
48	311	482
49	316	474
50	322	467
51	327	459
52	332	451
53	338	444
54	343	437
55	349	430
56	355	424
57	360	416
58	366	409
59	372	403
60	377	395
61	382	388
62	388	381
63	394	375
64	402	371
65	407	363
66	411	356
67	417	350
68	422	343
69	427	336
70	433	329
71	439	323
72	443	316
73	448	309
74	458	305
75	464	299
76	470	293
77	475	286
78	480	279
79	486	273
80	491	267
81	496	260
82	505	255
83	510	249
84	515	242
85	521	236
86	525	229
87	531	223
88	536	217
89	541	210
90	548	204
91	554	198
92	559	192
93	563	185
94	569	179
95	575	173
96	580	167
97	586	161
98	591	155
99	595	148
100	602	143
101	607	136
102	612	130
103	618	124
104	623	118
105	627	112
106	633	106
107	638	100
108	643	94
109	649	88
110	655	82
111	661	76
112	666	70
113	672	64
114	677	58
115	684	53
116	690	47
117	695	41
118	702	35
119	707	29
120	712	23
121	718	17
122	723	11
123	727	5
124	733	0
